,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,albany,95,US,1594941672,58,75.0,42.6,-73.97,1.01
1,mataura,16,NZ,1594941672,83,39.0,-46.19,168.86,3.0
2,praia da vitoria,75,PT,1594941672,82,68.0,38.73,-27.07,10.8
3,edea,75,CM,1594941672,100,75.2,3.8,10.13,3.36
4,airai,0,TL,1594941672,84,59.23,-8.93,125.41,2.91
5,nanortalik,30,GL,1594941672,58,50.22,60.14,-45.24,11.39
6,luwuk,14,ID,1594941487,78,77.5,-0.95,122.79,2.82
7,la baule-escoublac,69,FR,1594941672,88,62.6,47.29,-2.36,4.7
8,georgetown,40,MY,1594941390,100,77.0,5.41,100.34,2.24
9,cabo san lucas,20,MX,1594941478,58,87.01,22.89,-109.91,11.41
10,kapaa,20,US,1594941518,70,84.2,22.08,-159.32,9.17
11,eyl,91,SO,1594941673,60,81.5,7.98,49.82,28.16
12,hambantota,100,LK,1594941673,76,82.02,6.12,81.12,17.4
13,nikolskoye,82,RU,1594941673,76,57.2,59.7,30.79,4.47
14,avarua,2,CK,1594941673,64,75.2,-21.21,-159.78,9.17
15,rodez,89,FR,1594941673,82,60.8,44.5,2.58,9.17
16,dikson,85,RU,1594941674,93,40.87,73.51,80.55,5.21
17,namatanai,59,PG,1594941674,76,82.47,-3.67,152.43,4.52
18,ketchikan,90,US,1594941674,82,60.8,55.34,-131.65,8.05
19,rikitea,100,PF,1594941674,79,73.83,-23.12,-134.97,5.93
20,lasa,90,IT,1594941674,87,53.6,46.62,10.7,6.93
21,iqaluit,75,CA,1594941674,62,53.6,63.75,-68.51,5.82
22,souillac,75,MU,1594941674,83,69.8,-20.52,57.52,5.82
23,atuona,0,PF,1594941675,74,80.08,-9.8,-139.03,17.16
24,makakilo city,75,US,1594941611,66,89.6,21.35,-158.09,10.29
25,port elizabeth,17,ZA,1594941675,93,42.8,-33.92,25.57,4.7
26,dwarka,94,IN,1594941675,79,84.04,22.24,68.97,6.67
27,ushuaia,0,AR,1594941675,79,28.4,-54.8,-68.3,9.17
28,upington,0,ZA,1594941675,48,42.8,-28.45,21.26,5.82
29,tombouctou,72,ML,1594941675,34,93.63,20.0,-3.0,9.57
30,ilulissat,69,GL,1594941675,76,48.2,69.22,-51.1,4.7
31,hermanus,0,ZA,1594941676,85,48.0,-34.42,19.23,3.0
32,maniitsoq,8,GL,1594941676,83,46.53,65.42,-52.9,5.57
33,thompson,75,CA,1594941676,88,62.6,55.74,-97.86,8.05
34,hithadhoo,96,MV,1594941676,69,84.15,-0.6,73.08,5.91
35,jamestown,90,US,1594941676,83,75.2,42.1,-79.24,13.87
36,puerto carreno,40,CO,1594941676,78,80.6,6.19,-67.49,4.7
37,ribeira grande,88,PT,1594941676,80,69.13,38.52,-28.7,13.22
38,hilo,20,US,1594941611,66,84.2,19.73,-155.09,10.29
39,homa bay,100,KE,1594941676,73,64.96,-0.53,34.46,3.98
40,warrnambool,0,AU,1594941676,96,36.0,-38.38,142.48,3.0
41,narsaq,9,GL,1594941677,54,59.0,60.92,-46.05,3.36
42,new norfolk,6,AU,1594941677,90,39.0,-42.78,147.06,2.33
43,zhigansk,99,RU,1594941677,65,61.66,66.77,123.37,9.78
44,east london,1,ZA,1594941677,37,57.81,-33.02,27.91,4.88
45,bluff,22,NZ,1594941677,83,39.0,-46.6,168.33,3.0
46,upernavik,22,GL,1594941677,80,45.3,72.79,-56.15,4.83
47,la grande,1,US,1594941677,26,91.4,45.32,-118.09,10.29
48,khatanga,100,RU,1594941677,72,47.46,71.97,102.5,17.85
49,punta arenas,75,CL,1594941533,92,28.4,-53.15,-70.92,4.7
50,dehloran,0,IR,1594941678,15,93.45,32.69,47.27,7.0
51,tenri,75,JP,1594941678,94,73.4,34.58,135.83,1.45
52,takoradi,89,GH,1594941678,89,74.05,4.88,-1.76,7.14
53,point fortin,82,TT,1594941678,82,82.0,10.18,-61.68,13.94
54,asau,0,RO,1594941678,93,55.99,46.43,26.4,5.23
55,nanakuli,75,US,1594941678,66,89.01,21.39,-158.15,10.29
56,barrow,90,US,1594941382,69,37.4,71.29,-156.79,13.87
57,bambous virieux,75,MU,1594941678,83,69.8,-20.34,57.76,5.82
58,puerto ayora,86,EC,1594941679,83,70.0,-0.74,-90.35,7.49
59,port alfred,11,ZA,1594941679,48,56.79,-33.59,26.89,7.63
60,busselton,79,AU,1594941679,89,50.0,-33.65,115.33,10.65
61,balakhta,97,RU,1594941679,96,60.03,55.38,91.6,5.93
62,benguela,0,AO,1594941679,80,66.79,-12.58,13.41,1.36
63,kichmengskiy gorodok,79,RU,1594941679,91,58.42,59.98,45.79,2.37
64,dingle,19,PH,1594941679,84,79.97,11.0,122.67,1.92
65,nemuro,90,JP,1594941679,87,58.59,43.32,145.57,7.81
66,pisco,75,PE,1594941389,82,60.8,-13.7,-76.22,11.41
67,bilibino,100,RU,1594941680,87,46.63,68.05,166.44,1.61
68,igarka,0,RU,1594941680,76,49.03,67.47,86.58,17.9
69,bara,100,NG,1594941680,81,76.12,10.37,10.73,6.8
70,tatarasti,16,RO,1594941680,100,59.0,46.22,27.2,3.36
71,hobart,20,AU,1594941445,86,39.2,-42.88,147.33,8.05
72,severomuysk,100,RU,1594941680,89,43.74,56.15,113.43,4.99
73,scarborough,94,GB,1594941680,89,61.0,54.28,-0.4,1.99
74,saskylakh,100,RU,1594941680,58,48.94,71.92,114.08,21.21
75,hualmay,25,PE,1594941681,78,61.81,-11.1,-77.61,6.85
76,coos bay,90,US,1594941517,82,77.0,43.37,-124.22,21.92
77,mar del plata,0,AR,1594941388,81,52.0,-38.0,-57.56,3.36
78,nowy targ,75,PL,1594941681,93,55.0,49.48,20.03,1.12
79,arandis,0,NA,1594941681,36,66.0,-22.42,14.97,1.99
80,carnarvon,90,AU,1594941681,100,64.4,-24.87,113.63,11.41
81,castro,96,BR,1594941681,81,58.66,-24.79,-50.01,5.61
82,vaini,40,TO,1594941681,74,80.6,-21.2,-175.2,10.29
83,aklavik,40,CA,1594941681,59,64.4,68.22,-135.01,8.05
84,tasiilaq,65,GL,1594941681,61,46.4,65.61,-37.64,19.46
85,ponta do sol,2,PT,1594941682,73,69.8,32.67,-17.1,4.7
86,vao,68,NC,1594941682,64,69.31,-22.67,167.48,14.81
87,guapiles,20,CR,1594941682,60,78.8,10.22,-83.79,17.22
88,bredasdorp,0,ZA,1594941682,93,39.2,-34.53,20.04,3.18
89,north battleford,20,CA,1594941572,47,77.0,52.78,-108.28,8.05
90,adrar,10,MR,1594941682,28,90.39,20.5,-10.07,12.55
91,arraial do cabo,40,BR,1594941682,82,64.4,-22.97,-42.03,4.7
92,san patricio,75,MX,1594941682,74,86.0,19.22,-104.7,11.41
93,talnakh,75,RU,1594941682,87,50.0,69.49,88.4,15.66
94,severo-yeniseyskiy,85,RU,1594941683,96,48.02,60.37,93.04,9.91
95,nome,90,US,1594941683,76,57.2,64.5,-165.41,6.93
96,danielskuil,0,ZA,1594941683,71,36.52,-28.19,23.54,4.27
97,galle,100,LK,1594941683,88,80.08,6.04,80.22,7.56
98,felanitx,8,ES,1594941683,78,73.4,39.47,3.15,2.24
99,makokou,99,GA,1594941683,94,70.12,0.57,12.86,3.98
100,qaanaaq,69,GL,1594941683,77,44.2,77.48,-69.36,4.27
101,saint george,1,US,1594941683,12,104.0,37.1,-113.58,13.87
102,ahipara,100,NZ,1594941684,86,60.44,-35.17,173.17,11.25
103,lagoa,100,PT,1594941684,77,69.03,39.05,-27.98,12.82
104,azul,0,AR,1594941684,72,45.99,-36.78,-59.86,4.18
105,yellowknife,75,CA,1594941684,48,70.0,62.46,-114.35,5.82
106,ponta delgada,75,PT,1594941684,82,68.0,37.73,-25.67,4.7
107,shimoda,75,JP,1594941684,94,68.0,34.67,138.95,17.22
108,kyaikkami,98,MM,1594941684,88,78.6,16.08,97.57,8.48
109,safford,1,US,1594941684,16,102.2,32.83,-109.71,10.29
110,butaritari,52,KI,1594941684,68,83.32,3.07,172.79,8.9
111,shulan,4,CN,1594941685,64,78.13,44.42,126.95,8.03
112,gat,1,IL,1594941685,77,78.01,31.61,34.76,0.76
113,kenai,1,US,1594941685,67,66.2,60.55,-151.26,10.29
114,hami,61,CN,1594941685,32,75.79,42.8,93.45,5.97
115,torbay,90,CA,1594941685,100,48.99,47.67,-52.73,17.22
116,prince rupert,90,CA,1594941663,82,57.2,54.32,-130.32,2.24
117,dubbo,0,AU,1594941672,87,42.8,-32.25,148.62,10.29
118,okha,100,RU,1594941686,96,57.96,53.57,142.95,6.69
119,kaitangata,10,NZ,1594941686,58,46.0,-46.28,169.85,4.0
120,bengkulu,70,ID,1594941686,87,75.85,-3.8,102.27,5.59
121,victoria,95,HK,1594941493,74,86.0,22.29,114.16,11.01
122,cape town,0,ZA,1594941686,87,48.0,-33.93,18.42,6.93
123,aswan,0,EG,1594941686,20,84.33,24.09,32.91,9.82
124,charters towers,0,AU,1594941686,39,58.46,-20.1,146.27,8.46
125,bethel,1,US,1594941686,60,71.6,41.37,-73.41,6.93
126,calama,70,CL,1594941387,9,64.4,-22.47,-68.93,6.93
127,bismarck,1,US,1594941686,29,87.8,46.81,-100.78,10.29
128,vila real,51,PT,1594941622,6,75.99,41.3,-7.74,5.53
129,mount isa,0,AU,1594941687,26,60.8,-20.73,139.5,10.29
130,vanimo,28,PG,1594941687,76,82.22,-2.67,141.3,3.04
131,saint-philippe,75,RE,1594941687,83,69.8,-21.36,55.77,6.93
132,fortuna,20,US,1594941687,72,66.0,40.6,-124.16,13.87
133,honiara,20,SB,1594941481,74,82.4,-9.43,159.95,4.7
134,walvis bay,0,NA,1594941687,11,73.4,-22.96,14.51,18.34
135,monte alegre,9,BR,1594941687,82,77.31,-2.01,-54.07,4.36
136,san juan nepomuceno,84,CO,1594941687,81,81.52,9.95,-75.08,4.56
137,eyrarbakki,75,IS,1594941687,81,51.8,63.86,-21.15,8.05
138,hasaki,75,JP,1594941688,100,64.4,35.73,140.83,10.29
139,gazli,0,UZ,1594941688,17,80.89,40.13,63.45,7.25
140,skibbereen,20,IE,1594941688,87,57.2,51.55,-9.27,5.82
141,lavrentiya,99,RU,1594941688,77,51.37,65.58,-171.0,4.27
142,wexford,8,IE,1594941688,65,61.0,52.33,-6.46,5.64
143,norman wells,75,CA,1594941545,77,66.2,65.28,-126.83,11.41
144,nabire,10,ID,1594941688,84,78.19,-3.37,135.48,2.8
145,umea,3,SE,1594941689,93,57.99,63.83,20.26,3.36
146,tuktoyaktuk,75,CA,1594941689,58,57.2,69.45,-133.04,9.17
147,byron bay,90,AU,1594941689,58,59.0,-28.65,153.62,10.29
148,newport,18,GB,1594941689,88,64.0,51.59,-3.0,5.55
149,lingyuan,100,CN,1594941689,64,75.85,41.24,119.4,6.33
150,filingue,51,NE,1594941689,48,89.69,14.35,3.32,11.99
151,lompoc,7,US,1594941689,56,71.6,34.64,-120.46,18.34
152,cidreira,100,BR,1594941689,90,56.23,-30.18,-50.21,22.55
153,boysun,28,UZ,1594941690,25,72.93,38.21,67.2,1.74
154,acapulco,40,MX,1594941504,70,87.8,16.86,-99.89,3.36
155,erenhot,92,CN,1594941690,37,71.76,43.65,111.98,15.17
156,tigzirt,0,DZ,1594941690,76,72.27,36.89,4.12,12.12
157,bathsheba,20,BB,1594941690,74,82.4,13.22,-59.52,16.11
158,deputatskiy,56,RU,1594941690,71,43.07,69.3,139.9,4.29
159,arman,100,RU,1594941690,88,54.34,59.7,150.17,3.87
160,kruisfontein,21,ZA,1594941690,53,47.25,-34.0,24.73,4.23
161,los llanos de aridane,3,ES,1594941690,78,71.6,28.66,-17.92,12.75
162,shubarkuduk,0,KZ,1594941690,24,80.65,49.14,56.49,8.81
163,mikuni,40,JP,1594941691,83,73.4,36.22,136.15,1.12
164,severo-kurilsk,80,RU,1594941691,87,53.73,50.68,156.12,3.85
165,kodiak,90,US,1594941691,77,60.8,57.79,-152.41,9.17
166,edson,1,CA,1594941477,82,60.8,53.58,-116.44,3.36
167,sao jose dos campos,6,BR,1594941691,77,62.6,-23.18,-45.89,5.82
168,abong mbang,100,CM,1594941691,97,67.53,3.98,13.18,3.42
169,outjo,0,NA,1594941691,46,50.59,-20.12,16.15,17.09
170,vila velha,75,BR,1594941506,88,66.99,-20.33,-40.29,3.36
171,constitucion,100,CL,1594941663,87,52.32,-35.33,-72.42,8.84
172,nueva imperial,100,CL,1594941691,87,50.0,-38.73,-72.95,6.93
173,mali,99,GN,1594941483,100,59.27,12.08,-12.3,2.73
174,ambon,40,ID,1594941605,94,79.0,-3.7,128.18,5.82
175,chokurdakh,100,RU,1594941692,87,43.57,70.63,147.92,5.03
176,aksarka,0,RU,1594941692,76,47.98,66.56,67.8,3.94
177,luderitz,0,NA,1594941692,13,73.4,-26.65,15.16,5.82
178,cluses,90,FR,1594941692,63,66.2,46.06,6.58,3.36
179,katsuura,75,JP,1594941692,100,66.99,35.13,140.3,4.7
180,shasta lake,0,US,1594941692,22,106.0,40.68,-122.37,3.0
181,chuy,76,UY,1594941692,91,47.95,-33.7,-53.46,5.44
182,laguna,1,US,1594941692,31,91.0,38.42,-121.42,6.93
183,miri,40,MY,1594941658,100,75.2,4.41,114.01,3.36
184,saint-pierre,75,RE,1594941693,83,69.8,-21.34,55.48,6.93
185,polovinnoye,0,RU,1594941693,73,65.14,54.79,65.99,5.08
186,domna,40,RU,1594941693,72,59.0,51.9,113.16,4.47
187,lebu,100,CL,1594941693,88,53.26,-37.62,-73.65,20.87
188,andenes,75,NO,1594941693,87,53.6,69.31,16.12,2.24
189,sao joao do piaui,0,BR,1594941693,53,78.67,-8.36,-42.25,8.21
190,hervey bay,0,AU,1594941682,57,57.0,-25.3,152.85,5.99
191,eureka,5,US,1594941693,21,70.0,40.8,-124.16,3.0
192,sur,61,OM,1594941693,66,84.81,22.57,59.53,9.48
193,iberia,75,US,1594941694,100,84.0,29.95,-91.75,8.05
194,colares,0,PT,1594941584,54,87.01,38.8,-9.45,13.11
195,kavieng,34,PG,1594941694,65,84.45,-2.57,150.8,2.35
196,alta floresta,15,BR,1594941694,45,77.45,-9.88,-56.09,1.99
197,katangli,100,RU,1594941694,96,55.76,51.71,143.23,3.56
198,tabuk,90,PH,1594941694,85,77.11,17.42,121.44,4.34
199,kavaratti,99,IN,1594941546,79,83.05,10.57,72.64,23.29
200,maceio,20,BR,1594941694,73,75.2,-9.67,-35.74,6.93
201,bilma,98,NE,1594941694,31,92.16,18.69,12.92,2.98
202,camacupa,0,AO,1594941695,44,50.68,-12.02,17.48,5.84
203,krasnopavlivka,98,UA,1594941695,80,61.57,49.14,36.33,3.98
204,embonas,0,GR,1594941695,73,77.0,36.23,27.86,11.41
205,pryazha,100,RU,1594941695,87,55.4,61.69,33.62,8.95
206,shelburne,75,CA,1594941523,78,77.0,44.08,-80.2,11.41
207,mangrol,90,IN,1594941695,80,82.09,21.12,70.12,3.06
208,ouro preto do oeste,1,BR,1594941695,42,76.91,-10.75,-62.22,2.04
209,providencia,0,MX,1594941666,45,99.0,28.72,-111.58,15.99
210,provideniya,90,RU,1594941695,81,50.0,64.38,-173.3,4.47
211,yerbogachen,0,RU,1594941695,69,54.0,61.28,108.01,9.86
212,lere,53,NG,1594941696,96,68.25,10.39,8.57,3.02
213,nizhneivkino,36,RU,1594941696,86,59.36,58.19,49.52,3.65
214,guerrero negro,0,MX,1594941696,51,77.85,27.98,-114.06,18.3
215,esperance,75,AU,1594941696,100,57.2,-33.87,121.9,12.75
216,mahebourg,75,MU,1594941696,83,69.8,-20.41,57.7,5.82
217,portland,20,US,1594941397,45,87.01,45.52,-122.68,9.17
218,santa cruz cabralia,75,BR,1594941696,73,73.4,-16.28,-39.02,8.05
219,tautira,75,PF,1594941696,69,82.4,-17.73,-149.15,12.75
220,swellendam,0,ZA,1594941696,93,39.2,-34.02,20.44,3.89
221,west bay,40,KY,1594941697,74,87.8,19.37,-81.42,12.75
222,ouango,100,CF,1594941697,96,71.06,4.31,22.56,2.77
223,coihaique,90,CL,1594941697,93,32.0,-45.58,-72.07,3.36
224,aksha,91,RU,1594941697,65,57.13,50.28,113.29,10.38
225,mangrul pir,84,IN,1594941697,86,75.69,20.32,77.35,11.21
226,padang,96,ID,1594941697,82,76.8,-0.95,100.35,1.88
227,malindi,39,KE,1594941697,68,76.77,-3.22,40.12,20.54
228,catuday,32,PH,1594941697,78,82.38,16.29,119.81,7.81
229,hay river,40,CA,1594941697,72,60.8,60.82,-115.8,11.41
230,klaksvik,1,FO,1594941697,93,50.0,62.23,-6.59,17.22
231,cedar city,1,US,1594941456,10,91.4,37.68,-113.06,13.87
232,mareeba,20,AU,1594941698,52,64.4,-17.0,145.43,5.82
233,owando,87,CG,1594941698,92,72.05,-0.48,15.9,2.55
234,san vicente,75,AR,1594941698,98,60.33,-26.62,-54.13,1.19
235,dhule,73,IN,1594941698,82,80.29,20.9,74.78,6.29
236,beringovskiy,96,RU,1594941698,80,51.96,63.05,179.32,5.53
237,halifax,65,CA,1594941635,83,64.0,44.65,-63.57,5.55
238,port lincoln,0,AU,1594941698,61,53.82,-34.73,135.87,9.71
239,thinadhoo,77,MV,1594941665,68,84.16,0.53,72.93,5.37
240,qui nhon,47,VN,1594941465,83,79.59,13.77,109.23,4.79
241,puerto escondido,90,MX,1594941699,73,77.0,15.85,-97.07,9.17
242,junction city,1,US,1594941699,58,87.8,39.03,-96.83,9.17
243,grand forks,40,US,1594941630,37,82.4,47.93,-97.03,11.41
244,kolokani,100,ML,1594941699,83,73.49,13.57,-8.03,3.78
245,naze,75,JP,1594941699,78,82.4,28.37,129.48,6.93
246,namibe,0,AO,1594941699,57,67.91,-15.2,12.15,3.15
247,bondowoso,2,ID,1594941699,71,71.31,-7.91,113.82,1.23
248,atambua,15,ID,1594941699,81,71.37,-9.11,124.89,3.91
249,show low,75,US,1594941700,43,77.0,34.25,-110.03,8.05
250,kamenka,0,RU,1594941700,73,57.99,51.32,42.77,1.99
251,eresos,0,GR,1594941484,49,73.4,39.17,25.93,4.7
252,nazarovo,97,RU,1594941700,95,58.48,56.01,90.39,8.32
253,aliwal north,0,ZA,1594941700,61,36.66,-30.69,26.71,0.74
254,rocha,68,UY,1594941700,82,46.99,-34.48,-54.33,7.38
255,carutapera,3,BR,1594941700,89,75.79,-1.2,-46.02,5.19
256,touros,75,BR,1594941700,100,73.4,-5.2,-35.46,4.7
257,port-gentil,75,GA,1594941701,94,75.2,-0.72,8.78,11.03
258,leh,14,IN,1594941701,44,58.71,34.17,77.58,4.25
259,muros,75,ES,1594941701,61,66.99,42.78,-9.06,7.0
260,huaraz,9,PE,1594941701,41,57.96,-9.53,-77.53,1.86
261,gao,43,ML,1594941701,41,90.55,16.64,1.64,8.39
262,mamallapuram,75,IN,1594941701,88,80.6,12.63,80.17,2.24
263,lipari,0,IT,1594941701,79,73.99,38.47,14.95,3.0
264,villa maria,0,AR,1594941702,46,53.01,-32.41,-63.24,1.99
265,sault sainte marie,1,CA,1594941702,34,82.4,46.52,-84.33,0.78
266,clyde river,40,CA,1594941702,76,50.0,70.47,-68.59,12.75
267,atar,14,MR,1594941702,18,91.83,20.52,-13.05,7.92
268,san jeronimo,64,PE,1594941702,55,54.43,-11.95,-75.28,5.61
269,abha,54,SA,1594941702,52,69.8,18.22,42.51,4.7
270,vacaria,100,BR,1594941417,99,50.0,-28.51,-50.93,3.78
271,kulhudhuffushi,98,MV,1594941702,76,84.2,6.62,73.07,13.96
272,hokitika,97,NZ,1594941702,47,50.02,-42.72,170.97,2.51
273,balikpapan,40,ID,1594941703,100,77.0,-1.27,116.83,4.32
274,el pueblito,40,MX,1594941703,32,80.6,20.53,-100.45,14.99
275,richards bay,0,ZA,1594941703,84,54.36,-28.78,32.04,4.14
276,isangel,20,VU,1594941703,78,78.8,-19.55,169.27,2.24
277,kargopol,96,RU,1594941703,98,53.38,61.51,38.95,5.32
