,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
278,milkovo,100,RU,1594941703,79,65.26,54.72,158.62,2.04
279,noyabrsk,28,RU,1594941703,71,51.19,63.2,75.45,4.79
280,nakhon thai,75,TH,1594941703,100,77.0,17.1,100.84,1.28
281,sitka,75,US,1594941704,72,62.6,57.05,-135.33,10.29
282,verkh-usugli,100,RU,1594941704,84,60.48,52.7,115.17,3.0
283,loa janan,92,ID,1594941704,96,73.2,-0.58,117.09,1.05
284,marsa matruh,40,EG,1594941704,78,75.2,31.35,27.25,12.75
285,ust-tsilma,98,RU,1594941704,68,54.91,65.44,52.15,6.2
286,surman,0,LY,1594941704,79,78.44,32.76,12.57,10.8
287,kupang,20,ID,1594941704,78,77.0,-10.17,123.58,6.93
288,tefe,97,BR,1594941704,77,78.08,-3.35,-64.71,0.65
289,lerwick,100,GB,1594941704,100,53.6,60.15,-1.15,11.41
290,iralaya,40,HN,1594941704,74,86.0,15.0,-83.23,8.12
291,necochea,0,AR,1594941705,84,42.01,-38.55,-58.74,4.0
292,iquitos,20,PE,1594941705,74,82.4,-3.75,-73.25,4.7
293,poronaysk,57,RU,1594941705,84,63.32,49.22,143.12,9.89
294,dossor,93,KZ,1594941705,40,85.69,47.53,52.98,13.18
295,sobolevo,96,RU,1594941705,89,52.39,54.43,31.9,5.97
296,yarmouth,90,US,1594941521,67,64.99,41.71,-70.23,5.79
297,manta,75,EC,1594941705,83,77.0,-0.95,-80.73,10.29
298,pevek,100,RU,1594941705,99,38.89,69.7,170.31,3.91
299,chitrakonda,84,IN,1594941705,91,73.76,18.12,82.08,4.05
300,kristinehamn,0,SE,1594941706,100,59.0,59.31,14.11,3.36
301,mount gambier,40,AU,1594941502,93,39.2,-37.83,140.77,9.17
302,huntsville,1,US,1594941541,55,93.2,34.73,-86.59,4.7
303,kahului,40,US,1594941706,49,91.4,20.89,-156.47,20.8
304,vila franca do campo,75,PT,1594941706,82,68.0,37.72,-25.43,4.7
305,vestmannaeyjar,100,IS,1594941706,92,51.58,63.44,-20.27,9.6
306,kozhva,93,RU,1594941706,86,53.46,65.11,57.05,5.01
307,ibra,56,OM,1594941707,48,86.27,22.69,58.53,3.51
308,alofi,75,NU,1594941707,69,78.8,-19.06,-169.92,11.41
309,tiksi,17,RU,1594941707,83,38.34,71.69,128.87,20.38
310,sisimiut,49,GL,1594941707,76,48.78,66.94,-53.67,2.84
311,dharchula,79,IN,1594941707,76,70.34,29.85,80.53,0.36
312,moerai,28,PF,1594941707,66,69.03,-22.43,-151.33,10.27
313,taitung,40,TW,1594941707,70,84.2,22.76,121.14,4.7
314,ozernovskiy,60,RU,1594941707,85,54.68,51.5,156.52,11.23
315,xianyang,90,CN,1594941707,100,71.01,34.34,108.7,4.47
316,killarney,24,IE,1594941530,90,57.83,52.05,-9.52,5.06
317,lewisporte,75,CA,1594941708,62,60.01,49.25,-55.05,5.82
318,sirajganj,100,BD,1594941708,81,83.53,24.45,89.72,11.7
319,roald,100,NO,1594941708,82,60.01,62.58,6.13,9.17
320,hofn,87,IS,1594941708,89,51.89,64.25,-15.21,22.32
321,evensk,100,RU,1594941708,94,51.93,61.95,159.23,6.91
322,msanga,4,TZ,1594941708,71,54.01,-6.05,36.03,1.52
323,bure,100,ET,1594941708,97,56.05,10.7,37.07,2.24
324,khasan,92,RU,1594941709,92,65.53,42.43,130.64,0.81
325,eugene,20,US,1594941564,29,89.6,44.05,-123.09,9.17
326,auki,56,SB,1594941709,65,84.72,-8.77,160.7,5.53
327,biak,12,ID,1594941709,82,76.5,-0.91,122.88,3.0
328,harbour breton,85,CA,1594941709,69,57.34,47.48,-55.8,8.12
329,siwana,4,IN,1594941709,62,89.2,25.63,72.42,5.68
330,aquiraz,75,BR,1594941709,74,80.6,-3.9,-38.39,12.75
331,saldanha,0,ZA,1594941710,76,48.2,-33.01,17.94,3.36
332,saint-louis,40,SN,1594941710,58,86.0,16.33,-15.0,2.24
333,edd,97,ER,1594941710,50,91.74,13.93,41.69,2.86
334,komsomolskiy,20,UZ,1594941710,30,80.6,40.43,71.72,2.24
335,zhuhai,20,CN,1594941710,89,87.01,22.28,113.57,8.05
336,faanui,90,PF,1594941710,87,76.5,-16.48,-151.75,17.54
337,nanma,100,CN,1594941710,72,80.01,36.18,118.16,1.01
338,seoul,75,KR,1594941711,78,77.0,37.57,126.98,0.72
339,heihe,40,CN,1594941711,69,75.2,50.24,127.49,8.95
340,kudahuvadhoo,100,MV,1594941711,68,84.09,2.67,72.89,3.18
341,aranda de duero,32,ES,1594941711,62,63.25,41.67,-3.69,5.55
342,san cristobal,40,VE,1594941546,58,84.2,7.77,-72.22,6.93
343,salinopolis,45,BR,1594941711,86,78.4,-0.61,-47.36,11.61
344,tamboril,20,DO,1594941712,62,86.0,19.49,-70.61,12.75
345,gorontalo,32,ID,1594941452,87,75.29,0.54,123.06,2.19
346,taybad,0,IR,1594941712,33,78.42,34.74,60.78,16.91
347,catanduva,24,BR,1594941712,32,80.6,-21.14,-48.97,4.7
348,myitkyina,100,MM,1594941712,97,74.97,25.38,97.4,0.72
349,nakhon phanom,59,TH,1594941712,85,76.66,17.41,104.78,2.46
350,kampene,55,CD,1594941712,56,68.81,-3.6,26.67,1.28
351,apache junction,40,US,1594941712,13,109.99,33.42,-111.55,8.05
352,shellbrook,75,CA,1594941713,50,75.2,53.22,-106.4,10.29
353,tabas,0,IR,1594941713,29,89.6,33.6,56.92,9.17
354,diego de almagro,0,CL,1594941713,52,51.62,-26.37,-70.05,0.18
355,iwanai,41,JP,1594941713,67,69.44,42.97,140.51,3.67
356,ormond beach,40,US,1594941710,83,84.2,29.29,-81.06,8.05
357,tall kayf,0,TR,1594941714,23,80.4,37.08,41.07,4.76
358,buzmeyin,40,TM,1594941714,57,80.6,38.05,58.21,9.17
359,vardo,74,NO,1594941714,81,54.09,70.37,31.11,4.38
360,hamilton,75,US,1594941714,62,84.99,39.18,-84.53,9.17
361,can,0,TR,1594941714,53,71.6,40.03,27.05,13.87
362,ostrovskoye,41,RU,1594941715,97,55.56,57.81,42.24,6.24
363,salalah,75,OM,1594941715,94,82.4,17.02,54.09,3.36
364,vuktyl,92,RU,1594941715,94,55.4,63.86,57.31,5.55
365,lages,74,BR,1594941601,95,48.18,-27.82,-50.33,4.94
366,mabay,62,PH,1594941715,78,79.3,6.06,124.47,3.31
367,cazones,20,MX,1594941715,63,91.4,20.72,-97.32,11.41
368,wajir,100,KE,1594941716,64,72.91,1.75,40.06,18.41
369,dinguiraye,100,GN,1594941716,93,71.74,11.3,-10.72,2.04
370,moree,0,AU,1594941716,87,44.6,-29.47,149.85,6.93
371,ilebo,11,CD,1594941716,71,72.43,-4.32,20.58,1.28
372,orlik,100,RU,1594941716,66,48.65,52.52,99.83,3.38
373,havre-saint-pierre,90,CA,1594941716,40,69.8,50.23,-63.6,6.93
374,pochutla,75,MX,1594941716,58,88.0,15.74,-96.47,4.59
375,hohhot,40,CN,1594941717,93,66.2,40.81,111.65,2.24
376,cherskiy,0,RU,1594941717,49,54.77,68.75,161.3,3.85
377,lanxi,85,CN,1594941717,99,82.99,29.22,119.48,1.61
378,salta,10,AR,1594941561,58,59.0,-24.79,-65.41,8.05
379,dunedin,33,NZ,1594941717,66,44.01,-45.87,170.5,30.0
380,kimbe,11,PG,1594941717,69,84.16,-5.55,150.14,2.68
381,ugoofaaru,100,MV,1594941718,78,83.34,5.67,73.0,11.14
382,letnyaya stavka,52,RU,1594941718,36,74.44,45.43,43.45,11.97
383,port hardy,75,CA,1594941532,77,59.0,50.7,-127.42,9.17
384,bielsko-biala,79,PL,1594941718,3,55.0,49.82,19.05,4.0
385,sambava,35,MG,1594941718,77,70.84,-14.27,50.17,10.71
386,romitan,16,UZ,1594941718,28,80.6,39.93,64.38,4.7
387,yar-sale,0,RU,1594941718,76,47.95,66.83,70.83,5.12
388,havoysund,91,NO,1594941718,81,53.6,71.0,24.66,1.19
389,sao felix do xingu,20,BR,1594941719,57,77.86,-6.64,-51.99,2.13
390,reoti,74,IN,1594941719,71,86.38,25.85,84.38,7.07
391,santiago,100,CL,1594941719,71,50.0,-33.46,-70.65,0.87
392,port moresby,90,PG,1594941719,94,77.0,-9.44,147.18,17.22
393,raga,49,SS,1594941719,94,68.86,8.46,25.68,3.67
394,koundara,71,GN,1594941719,93,72.88,12.48,-13.3,6.96
395,ola,100,RU,1594941719,87,54.91,59.58,151.28,8.57
396,pervomayskoye,43,RU,1594941720,58,73.33,43.92,46.71,5.23
397,morant bay,20,JM,1594941720,66,86.0,17.88,-76.41,18.34
398,marfino,75,RU,1594941720,93,60.01,55.7,37.38,8.95
399,neryungri,42,RU,1594941720,59,73.72,56.67,124.65,3.85
400,pavilosta,38,LV,1594941720,93,55.4,56.89,21.19,2.24
401,fukue,20,JP,1594941720,83,73.4,32.69,128.84,11.41
402,navalmoral de la mata,5,ES,1594941720,26,84.0,39.89,-5.54,3.0
403,fuengirola,0,ES,1594941720,69,77.0,36.54,-4.62,1.12
404,atlantic city,20,US,1594941446,64,77.0,39.36,-74.42,13.87
405,piacabucu,40,BR,1594941721,74,74.07,-10.41,-36.43,12.68
406,nyrob,100,RU,1594941721,95,62.4,60.73,56.72,3.18
407,manitouwadge,71,CA,1594941721,59,69.69,49.12,-85.84,11.83
408,saraland,9,US,1594941721,69,87.01,30.82,-88.07,10.0
409,luanda,4,AO,1594941722,94,69.8,-8.84,13.23,4.7
410,olafsvik,100,IS,1594941722,76,48.92,64.89,-23.71,26.8
411,harper,84,LR,1594941722,79,74.75,4.38,-7.72,8.97
412,chabahar,31,IR,1594941722,79,84.61,25.29,60.64,2.51
413,comodoro rivadavia,90,AR,1594941547,100,39.2,-45.87,-67.5,5.46
414,cockburn town,67,TC,1594941722,79,82.56,21.46,-71.14,15.86
415,eydhafushi,99,MV,1594941723,78,83.19,5.1,73.07,9.91
416,mae sai,20,TH,1594941723,100,79.0,20.43,99.88,0.63
417,tessalit,15,ML,1594941723,30,90.28,20.2,1.01,5.91
418,grindavik,75,IS,1594941724,100,48.2,63.84,-22.43,17.22
419,oranjemund,0,NA,1594941724,27,65.41,-28.55,16.43,11.18
420,flinders,45,AU,1594941724,72,57.0,-34.58,150.86,4.0
421,huilong,71,CN,1594941724,90,73.0,31.81,121.66,5.01
422,neuquen,75,AR,1594941671,70,48.2,-38.95,-68.06,4.7
423,longonjo,0,AO,1594941725,44,50.86,-12.91,15.25,5.01
424,tigre,61,AR,1594941725,81,52.0,-34.43,-58.58,5.82
425,huautla,71,MX,1594941725,65,86.2,21.03,-98.28,9.64
426,bo phloi,70,TH,1594941725,88,73.35,14.32,99.52,4.18
427,floro,100,NO,1594941726,87,57.2,61.6,5.03,18.34
428,miami,75,US,1594941546,59,89.6,25.77,-80.19,12.75
429,xichang,100,CN,1594941726,81,68.47,27.9,102.26,0.65
430,kongolo,72,CD,1594941727,41,71.65,-5.38,27.0,5.23
431,anau,88,PF,1594941727,87,76.41,-16.52,-151.73,17.56
432,nagato,75,JP,1594941727,83,73.4,34.38,131.2,3.36
433,chunhuhub,23,MX,1594941665,41,93.49,19.55,-88.68,6.4
434,hobyo,90,SO,1594941728,72,78.15,5.35,48.53,28.77
435,buchanan,75,LR,1594941728,88,75.2,5.88,-10.05,4.43
436,clayton,75,US,1594941603,62,87.01,33.53,-84.37,11.41
437,tarakan,85,ID,1594941456,88,76.6,3.3,117.63,4.7
438,najran,40,SA,1594941729,42,86.0,17.49,44.13,23.04
439,yangambi,100,CD,1594941729,92,70.97,0.81,24.43,2.13
440,topeka,20,US,1594941660,62,86.0,39.05,-95.68,8.05
441,senneterre,75,CA,1594941729,73,73.4,48.38,-77.23,8.05
442,puerto leguizamo,24,CO,1594941729,77,76.39,-0.19,-74.78,0.47
443,waw,86,SS,1594941729,90,70.68,7.7,28.0,3.15
444,ganzhou,91,CN,1594941730,89,79.56,28.82,115.43,1.39
445,paralimni,0,CY,1594941730,83,75.2,35.04,33.98,3.36
446,shingu,75,JP,1594941731,100,71.6,33.73,135.98,3.36
447,aranos,0,NA,1594941731,57,42.19,-24.13,19.12,11.48
448,lorengau,56,PG,1594941731,64,84.85,-2.02,147.27,4.41
449,henties bay,0,NA,1594941731,36,66.0,-22.12,14.28,1.99
450,northam,0,GB,1594941731,96,61.0,51.03,-4.22,1.99
451,oyama,75,JP,1594941731,93,71.01,36.3,139.8,9.17
452,sabha,0,LY,1594941731,20,87.85,27.04,14.43,10.4
453,ossora,99,RU,1594941732,88,58.23,59.24,163.07,3.4
454,port hedland,0,AU,1594941732,66,53.6,-20.32,118.57,8.05
455,tuatapere,36,NZ,1594941732,83,39.0,-46.13,167.68,3.0
456,zhezkazgan,0,KZ,1594941732,32,74.05,47.8,67.71,14.99
457,taree,90,AU,1594941732,71,57.2,-31.9,152.47,12.75
458,quang ngai,36,VN,1594941486,84,76.68,15.12,108.8,4.38
459,sola,98,VU,1594941733,82,80.55,-13.88,167.55,14.16
460,tabou,71,CI,1594941733,81,74.25,4.42,-7.35,9.62
461,novikovo,26,RU,1594941733,85,55.06,51.15,37.89,1.57
462,maxixe,18,MZ,1594941733,75,62.8,-23.86,35.35,9.06
463,povenets,97,RU,1594941733,83,52.18,62.85,34.83,11.45
464,wanning,96,CN,1594941733,84,82.71,18.8,110.4,11.12
465,christchurch,96,NZ,1594941491,87,46.0,-43.53,172.63,2.24
466,nyurba,99,RU,1594941733,96,57.0,63.28,118.33,5.93
467,marawi,100,PH,1594941734,84,77.0,8.0,124.29,5.01
468,sucua,40,EC,1594941734,77,69.8,-2.47,-78.17,5.82
469,beroroha,0,MG,1594941734,63,60.01,-21.67,45.17,7.2
470,turbat,42,PK,1594941734,63,86.56,26.0,63.04,1.3
471,caravelas,63,BR,1594941734,75,72.23,-17.71,-39.25,11.07
472,pokhara,87,NP,1594941734,85,72.97,28.23,83.98,0.67
473,pemangkat,99,ID,1594941734,91,76.46,1.17,108.97,6.73
474,mehamn,83,NO,1594941734,82,52.59,71.04,27.85,1.81
475,juegang,45,CN,1594941735,85,73.99,32.32,121.19,10.89
476,trincomalee,100,LK,1594941701,76,81.97,8.57,81.23,16.62
477,pangnirtung,20,CA,1594941735,51,62.6,66.15,-65.71,5.82
478,dolinsk,75,RU,1594941735,88,62.6,47.35,142.8,6.71
479,atherton,29,GB,1594941735,82,64.0,53.52,-2.49,5.17
480,andilamena,100,MG,1594941735,91,57.09,-17.02,48.58,8.88
481,couvin,81,BE,1594941735,93,57.99,50.05,4.5,3.36
482,khani,90,GE,1594941735,94,73.4,41.96,42.96,5.82
483,marquette,1,US,1594941735,44,84.0,46.53,-87.63,5.01
484,mufumbwe,0,ZM,1594941735,69,50.76,-13.68,24.8,7.36
485,buala,88,SB,1594941736,72,83.12,-8.14,159.59,10.45
486,wewak,62,PG,1594941736,80,81.19,-3.55,143.63,3.67
487,roma,90,US,1594941736,88,69.8,43.21,-75.46,4.7
488,springdale,20,US,1594941734,59,91.4,36.19,-94.13,8.05
489,kyabram,0,AU,1594941736,94,46.99,-36.32,145.05,0.16
490,willowmore,1,ZA,1594941736,49,43.41,-33.29,23.49,3.69
491,cabedelo,33,BR,1594941736,94,75.2,-6.98,-34.83,6.93
492,marsh harbour,0,BS,1594941736,76,82.89,26.54,-77.06,14.63
493,san fernando,19,PH,1594941736,71,87.01,15.03,120.69,2.64
494,de aar,0,ZA,1594941737,58,38.59,-30.65,24.01,3.4
495,gizo,79,SB,1594941737,75,83.55,-8.1,156.84,14.9
496,rafaela,0,AR,1594941737,47,57.99,-31.25,-61.49,3.0
497,basco,99,PH,1594941737,80,85.17,20.45,121.97,15.64
498,inta,31,RU,1594941737,76,49.17,66.03,60.17,12.8
499,kuah,20,MY,1594941737,100,77.0,6.33,99.84,3.36
500,svetlogorsk,32,BY,1594941737,79,55.69,52.63,29.73,3.71
501,leon,75,MX,1594941442,42,82.4,21.12,-101.67,2.06
502,juneau,90,US,1594941641,68,64.4,58.3,-134.42,8.05
503,naliya,74,IN,1594941683,76,83.41,23.27,68.83,2.73
504,usinsk,79,RU,1594941738,72,50.68,65.99,57.53,14.47
505,brenham,1,US,1594941738,39,98.6,30.17,-96.4,9.17
506,kumano,75,JP,1594941738,83,77.0,34.34,132.59,3.36
507,andra,100,RU,1594941738,95,63.14,62.51,65.89,5.86
508,santa cruz de tenerife,41,ES,1594941738,77,73.0,28.47,-16.25,4.7
509,bourail,11,NC,1594941738,51,69.87,-21.57,165.48,7.0
510,arlit,63,NE,1594941739,41,87.64,18.74,7.39,20.94
511,aripuana,3,BR,1594941739,43,78.03,-9.17,-60.63,1.16
512,yashan,93,CN,1594941739,91,79.9,22.2,109.94,3.56
513,bereda,73,ES,1594941739,98,59.0,43.27,-7.54,8.99
514,tahoua,84,NE,1594941739,74,80.6,14.89,5.27,6.93
515,umarkot,6,PK,1594941739,58,89.62,25.36,69.74,7.76
516,ixtapa,75,MX,1594941739,74,88.0,20.7,-105.2,8.05
517,mogzon,94,RU,1594941740,72,52.14,51.74,111.96,11.45
518,porto novo,20,BJ,1594941740,94,75.2,6.5,2.6,6.93
519,inirida,100,CO,1594941740,95,75.56,3.87,-67.92,2.33
520,aligudarz,38,IR,1594941740,66,60.67,33.4,49.69,7.34
521,leningradskiy,97,RU,1594941740,81,46.76,69.38,178.42,12.8
522,dingli,0,MT,1594941740,83,75.99,35.86,14.38,3.36
523,solwezi,14,ZM,1594941740,77,47.86,-12.17,26.39,7.72
524,zhoucun,91,CN,1594941741,72,80.01,36.82,117.82,1.01
525,xifeng,0,CN,1594941741,55,79.03,42.74,124.72,10.47
526,labuhan,1,ID,1594941741,85,75.38,-6.88,112.21,8.28
527,bom jesus da lapa,4,BR,1594941741,44,77.0,-13.26,-43.42,9.17
528,yeovil,75,GB,1594941741,93,61.0,50.94,-2.63,4.7
529,high rock,40,BS,1594941741,70,87.8,26.62,-78.28,10.29
530,meulaboh,95,ID,1594941741,89,76.03,4.14,96.13,4.59
531,esna,0,EG,1594941742,32,84.2,25.29,32.55,11.05
532,djambala,97,CG,1594941742,77,72.73,-2.54,14.75,3.24
533,srednekolymsk,100,RU,1594941742,77,46.56,67.45,153.68,7.49
534,soe,35,ID,1594941742,93,64.98,-9.86,124.28,4.63
535,jardim,25,BR,1594941742,49,73.35,-21.48,-56.14,3.58
536,ancud,90,CL,1594941742,93,51.01,-41.87,-73.82,9.17
537,la palma,1,US,1594941743,50,84.99,33.85,-118.05,8.05
538,kamakhyanagar,97,IN,1594941743,87,79.84,20.93,85.55,4.92
539,aykhal,0,RU,1594941743,71,57.2,66.0,111.5,4.47
540,cabo rojo,27,PR,1594941744,79,84.0,18.09,-67.15,1.01
541,longyearbyen,75,SJ,1594941744,87,44.6,78.22,15.64,1.12
542,verkhoyansk,89,RU,1594941744,45,54.32,67.54,133.38,2.24
543,de-kastri,100,RU,1594941744,90,63.1,51.47,140.78,3.76
544,porosozero,81,RU,1594941744,94,45.84,62.72,32.73,6.26
545,kodinsk,99,RU,1594941744,91,57.45,58.69,99.18,10.96
546,maraba,16,BR,1594941737,55,86.0,-5.37,-49.12,3.36
547,alyangula,1,AU,1594941744,73,69.8,-13.85,136.42,11.34
548,singapore,75,SG,1594941670,88,80.6,1.29,103.85,4.79
549,araouane,85,ML,1594941744,30,94.01,18.9,-3.53,10.13
550,moa,36,CU,1594941745,73,82.9,20.66,-74.94,9.86
551,toora-khem,82,RU,1594941745,72,50.13,52.47,96.11,1.01
552,kabanjahe,40,ID,1594941745,94,78.8,3.1,98.49,5.82
553,kerema,46,PG,1594941745,83,79.05,-7.96,145.78,0.54
554,urusha,67,RU,1594941745,64,71.29,54.05,122.9,3.49
555,yichang,100,CN,1594941745,91,72.0,30.71,111.28,1.41
556,geraldton,90,AU,1594941745,77,59.0,-28.77,114.6,21.92
557,elizabeth city,40,US,1594941745,70,84.2,36.29,-76.25,10.29
558,sacile,100,IT,1594941745,90,68.0,45.95,12.5,4.0
559,shangrao,79,CN,1594941746,87,79.3,28.45,117.97,3.62
